titles,category
"우주청 ""우주 임무에 AI 기반 기술 활용 추진전략 마련""",World
"KT “티빙-웨이브 합병, 티빙 주주가치에 부합하는지 의문“",World
"표준硏, 6G 저궤도 위성통신 성능 검증할 측정표준 개발",World
"한전KDN, ‘양자내성암호 시범전환 지원사업’ 에너지 분야 주도",World
'숏폼' 시장 뛰어드는 KT…미디어부문 AX 가속화(종합),World
"업스테이지, AI 업무 핵심은 문서에 강한 비전언어모델",World
"삼성SDS,‘Industry Day’ 열고, 제조 기업의 미래 제시",World
"개인정보위, 제2차 `2025 개인정보 미래포럼` 개최",World
"CMG제약, 구강필름 조현병 치료제 '메조피' FDA 품목허가",World
"SKT, '갤럭시 A56 5G' 기반 전용 스마트폰 '갤럭시 퀀텀6' 선보인다",World
"""전세계 스마트폰 시장 관세 탓 역성장 가능성…1분기 삼성 1위""",World
[AI는 지금] 앤트로픽도 'AI 음성 비서' 경쟁 가세…오픈AI·아마존·애플·삼성 넘을까,World
"업스테이지 ""올해는 사람이 보고서를 쓰는 마지막 해가 될 듯""",World
"제품 생산량 늘리는 애플… 韓 부품업계, 관세 예외 여부 ‘촉각’",World
"보로노이, 이달 내 공개될 ‘VRN11’ 임상 결과 주목받는 이유는?",World
"전기차 배터리, 4680보다 4695 인기...왜?",World
"GM, 美 현지 LFP 각형 수급 검토…삼성SDI·LG엔솔 경합 [소부장박대리]",World
노화인 줄 알았는데 '충격'…도파민이 보내는 '경고'였다,World
"윤상순 대표 ""해외서 인정 받은 삼중항체 기술로…TCE의 안전성·효능 두 토끼 잡겠다""",World
"이지영 교수 ""젬백스 신약 후보물질, PSP 질환치료 임상서 의미있는 결과 확인""",World
"""효도선물로 인기였는데""…임플란트 시장 주춤한 이유 알고 보니",World
"'생명의 언어' 해석하는 AI, 세상에 없는 '다목적 맞춤형 단백질' 설계하다",World
"KT ""공식적으로 티빙-웨이브 합병 의견 표명할 것""",World
"""무료 기술만 쓰면 끝?""…공공 오픈소스 생태계, 조달·관리는 '빈틈'",World
"""건강검진 받았다면 '이상지질혈증' 의심 결과 확인 해보세요""",World
故김하늘 양 향해 악성 댓글 40대 사자명예훼손 혐의 송치,World
[단독] 최민희 과방위원장 부총리급 '과학기술정보통신인공지능부' 설립법안 발의…ICT거버넌스 개편논의 신호탄,World
"[인터뷰] 삼성SDS ""양자컴 상용화 시점 중요치 않다…보안위협 PQC로 극복""",World
"업스테이지, '풀스택AI'로 미국·일본·동남아 AI 시장 정조준",World
"네이버, '맵스' 앞세워 본격 수익화…카카오는 'AI 메이트 로컬' 준비",World
"구글, 제미나이에 동영상 생성 AI ‘비오2’ 탑재…“8초 영상 뚝딱”",World
저궤도 위성통신 R&D 사업 첫발...위성통신 강국 '마중물' 기대,World
"웨어러블 로봇 1년 새 500대 판 위로보틱스 ""1인 1로봇 시대 열겠다""",World
"유전자 변형 ‘돼지 간’ 사람에게 이식, 美 FDA 임상시험 승인",World
"KT ""'미디어·콘텐츠, 매출 목표보단 방향 전환이 중요"" [일문일답]",World
20년산 IP의 힘… 활기 되찾은 모바일 MMORPG,World
"KT, 미디어 AX 본격화…'전략통' 김채희 전무 시험대 위에(종합)",World
'뮤직 끼워팔기' 논란에 한발 뺀 유튜브…토종앱에 호재?,World
"[현장] ""美·中은 무단 크롤링, 우리는 정공법""…업스테이지, 글로벌 AI 정조준",World
난 동의 안 했는데...페북·인스타·X에 올린 게시글까지 AI '학습 중',World
모바일 게임 시장 韓中 고지전,World
"KT, 미디어 전략 확 바꾼다…광고기반 무료스트리밍도 'OK'",World
"""다시 한번 약값 인하"" 외친 트럼프...K바이오시밀러 기대감 '업'",World
'가격인하·구형활보·쌓인재고' 中 로봇청소기 에코백스…브랜드 가치 하락에 '쩔쩔',World
"우주청 ""우주 임무에 AI 기반 기술 활용 추진전략 마련""",IT
"KT “티빙-웨이브 합병, 티빙 주주가치에 부합하는지 의문“",IT
"표준硏, 6G 저궤도 위성통신 성능 검증할 측정표준 개발",IT
"한전KDN, ‘양자내성암호 시범전환 지원사업’ 에너지 분야 주도",IT
'숏폼' 시장 뛰어드는 KT…미디어부문 AX 가속화(종합),IT
"업스테이지, AI 업무 핵심은 문서에 강한 비전언어모델",IT
"삼성SDS,‘Industry Day’ 열고, 제조 기업의 미래 제시",IT
"개인정보위, 제2차 `2025 개인정보 미래포럼` 개최",IT
"CMG제약, 구강필름 조현병 치료제 '메조피' FDA 품목허가",IT
"SKT, '갤럭시 A56 5G' 기반 전용 스마트폰 '갤럭시 퀀텀6' 선보인다",IT
"""전세계 스마트폰 시장 관세 탓 역성장 가능성…1분기 삼성 1위""",IT
[AI는 지금] 앤트로픽도 'AI 음성 비서' 경쟁 가세…오픈AI·아마존·애플·삼성 넘을까,IT
"업스테이지 ""올해는 사람이 보고서를 쓰는 마지막 해가 될 듯""",IT
"제품 생산량 늘리는 애플… 韓 부품업계, 관세 예외 여부 ‘촉각’",IT
"보로노이, 이달 내 공개될 ‘VRN11’ 임상 결과 주목받는 이유는?",IT
"전기차 배터리, 4680보다 4695 인기...왜?",IT
"GM, 美 현지 LFP 각형 수급 검토…삼성SDI·LG엔솔 경합 [소부장박대리]",IT
노화인 줄 알았는데 '충격'…도파민이 보내는 '경고'였다,IT
"윤상순 대표 ""해외서 인정 받은 삼중항체 기술로…TCE의 안전성·효능 두 토끼 잡겠다""",IT
"이지영 교수 ""젬백스 신약 후보물질, PSP 질환치료 임상서 의미있는 결과 확인""",IT
"""효도선물로 인기였는데""…임플란트 시장 주춤한 이유 알고 보니",IT
"'생명의 언어' 해석하는 AI, 세상에 없는 '다목적 맞춤형 단백질' 설계하다",IT
"KT ""공식적으로 티빙-웨이브 합병 의견 표명할 것""",IT
"""무료 기술만 쓰면 끝?""…공공 오픈소스 생태계, 조달·관리는 '빈틈'",IT
"""건강검진 받았다면 '이상지질혈증' 의심 결과 확인 해보세요""",IT
故김하늘 양 향해 악성 댓글 40대 사자명예훼손 혐의 송치,IT
[단독] 최민희 과방위원장 부총리급 '과학기술정보통신인공지능부' 설립법안 발의…ICT거버넌스 개편논의 신호탄,IT
"[인터뷰] 삼성SDS ""양자컴 상용화 시점 중요치 않다…보안위협 PQC로 극복""",IT
"업스테이지, '풀스택AI'로 미국·일본·동남아 AI 시장 정조준",IT
"네이버, '맵스' 앞세워 본격 수익화…카카오는 'AI 메이트 로컬' 준비",IT
"구글, 제미나이에 동영상 생성 AI ‘비오2’ 탑재…“8초 영상 뚝딱”",IT
저궤도 위성통신 R&D 사업 첫발...위성통신 강국 '마중물' 기대,IT
"웨어러블 로봇 1년 새 500대 판 위로보틱스 ""1인 1로봇 시대 열겠다""",IT
"유전자 변형 ‘돼지 간’ 사람에게 이식, 美 FDA 임상시험 승인",IT
"KT ""'미디어·콘텐츠, 매출 목표보단 방향 전환이 중요"" [일문일답]",IT
20년산 IP의 힘… 활기 되찾은 모바일 MMORPG,IT
"KT, 미디어 AX 본격화…'전략통' 김채희 전무 시험대 위에(종합)",IT
'뮤직 끼워팔기' 논란에 한발 뺀 유튜브…토종앱에 호재?,IT
"[현장] ""美·中은 무단 크롤링, 우리는 정공법""…업스테이지, 글로벌 AI 정조준",IT
난 동의 안 했는데...페북·인스타·X에 올린 게시글까지 AI '학습 중',IT
모바일 게임 시장 韓中 고지전,IT
"KT, 미디어 전략 확 바꾼다…광고기반 무료스트리밍도 'OK'",IT
"""다시 한번 약값 인하"" 외친 트럼프...K바이오시밀러 기대감 '업'",IT
'가격인하·구형활보·쌓인재고' 中 로봇청소기 에코백스…브랜드 가치 하락에 '쩔쩔',IT
